"","genus","spp"
"1","Adamsia Adamsia","Adamsia palliata"
"2","Alcyonidium Alcyonidium","Alcyonidium gelatinosum"
"3","Alloteuthis Alloteuthis","Alloteuthis"
"4","Alopias Alopias","Alopias vulpinus"
"5","Anseropoda Anseropoda","Anseropoda placenta"
"6","Antedon Antedon","Antedon"
"7","Ascidia Ascidia","Ascidia"
"8","Ascidiacea Ascidiacea","Ascidiacea"
"9","Atelecyclus Atelecyclus","Atelecyclus undecimdentatus"
"10","Bivalvia Bivalvia","Bivalvia"
"11","Botryllus Botryllus","Botryllus"
"12","Calliostoma Calliostoma","Calliostoma granulatum"
"13","Calliostoma Calliostoma","Calliostoma zizyphinum"
"14","Chrysaora Chrysaora","Chrysaora hysoscella"
"15","Cirripedia Cirripedia","Cirripedia"
"16","Diodora Diodora","Diodora graeca"
"17","Doris Doris","Doris pseudoargus"
"18","Dromia Dromia","Dromia personata"
"19","Eledone Eledone","Eledone cirrhosa"
"20","Epizoanthus Epizoanthus","Epizoanthus"
"21","Epizoanthus Epizoanthus","Epizoanthus incrustatus"
"22","Galathea Galathea","Galathea"
"23","Hippocampus Hippocampus","Hippocampus"
"24","Inachus Inachus","Inachus"
"25","Liocarcinus Liocarcinus","Liocarcinus"
"26","Liocarcinus Liocarcinus","Liocarcinus depurator"
"27","Liocarcinus Liocarcinus","Liocarcinus vernalis"
"28","Liparis Liparis","Liparis liparis"
"29","Liza Liza","Liza aurata"
"30","Liza Liza","Liza ramada"
"31","Loligo Loligo","Loligo"
"32","Loligo Loligo","Loligo forbesi"
"33","Loligo Loligo","Loligo vulgaris"
"34","Macropodia Macropodia","Macropodia"
"35","Macropodia Macropodia","Macropodia rostrata"
"36","Maja Maja","Maja brachydactyla"
"37","Chlamys Chlamys","Mimachlamys varia"
"38","Molgulidae Molgulidae","Molgulidae"
"39","Mytilus Mytilus","Mytilus galloprovincialis"
"40","Nudibranchia Nudibranchia","Nudibranchia"
"41","Ocenebra Ocenebra","Ocenebra erinaceus"
"42","Pagurus Pagurus","Pagurus prideaux"
"43","Palaemon Palaemon","Palaemon serratus"
"44","Pilumnus Pilumnus","Pilumnus hirtellus"
"45","Pisa Pisa","Pisa armata"
"46","Polychaeta Polychaeta","Polychaeta"
"47","Porifera Porifera","Porifera"
"48","Pyuridae Pyuridae","Pyuridae"
"49","Rhizostoma Rhizostoma","Rhizostoma"
"50","Rissoides Rissoides","Rissoides desmaresti"
"51","Sepia Sepia","Sepia officinalis"
"52","Sepiola Sepiola","Sepiola"
"53","Styela Styela","Styela clava"
"54","Suberites Suberites","Suberites"
"55","Suberites Suberites","Suberites ficus"
"56","Tethya Tethya","Tethya aurantium"
"57","Tethya Tethya","Tethya citrina"
"58","Tritonia Tritonia","Tritonia hombergii"
