"","ScientificName_accepted"
"1","Chelidonichthys lastoviza"
"2","Scophthalmus maximus"
"3","Chelon auratus"
"4","Chelon ramada"
"5","Salmo trutta"
"6","Cancer pagurus"
"7","Macropodia"
"8","Liocarcinus depurator"
"9","Ophiura ophiura"
"10","Necora puber"
"11","Liocarcinus vernalis"
"12","Echinocardium cordatum"
"13","Crangon crangon"
"14","Aequipecten opercularis"
"15","Mytilus edulis"
"16","Inachus dorsettensis"
"17","Suberites"
"18","Ophiothrix fragilis"
"19","Maja brachydactyla"
"20","Pecten maximus"
"21","Anseropoda placenta"
"22","Pisidia longicornis"
"23","Pilumnus hirtellus"
"24","Ascidia"
"25","Macropodia tenuirostris"
"26","Mimachlamys varia"
"27","Buccinum undatum"
"28","Palaemon serratus"
"29","Ascidiacea"
"30","Macropodia rostrata"
"31","Calliostoma granulatum"
"32","Tethya aurantium"
"33","Calliostoma zizyphinum"
"34","Pagurus prideaux"
"35","Aphrodita aculeata"
"36","Homarus gammarus"
"37","Polychaeta"
"38","Abra alba"
"39","Rissoides desmaresti"
"40","Styela clava"
"41","Adamsia palliata"
"42","Doris pseudoargus"
"43","Liocarcinus pusillus"
"44","Tritonia hombergii"
"45","Diodora graeca"
"46","Molgulidae"
"47","Mytilus galloprovincialis"
"48","Pisa armata"
"49","Dromia personata"
"50","Ocenebra erinaceus"
"51","Antedon"
"52","Botryllus"
"53","Eurynome aspera"
"54","Cirripedia"
"55","Bivalvia"
"56","Metridium senile"
"57","Chrysaora hysoscella"
"58","Rhizostoma"
"59","Alopias vulpinus"
"60","Psammechinus miliaris"
"61","Crepidula fornicata"
"62","Nudibranchia"
"63","Liocarcinus holsatus"
"64","Asterias rubens"
"65","Crossaster papposus"
"66","Pagurus bernhardus"
"67","Tethya citrina"
"68","Inachus"
"69","Alcyonium digitatum"
"70","Alcyonidium diaphanum"
"71","Adamsia palliata"
"72","Inachus phalangium"
"73","Porifera"
"74","Epizoanthus"
"75","Atelecyclus undecimdentatus"
"76","Urticina felina"
"77","Pyuridae"
"78","Alcyonidium gelatinosum"
"79","Ophiura albida"
"80","Epizoanthus papillosus"
"81","Suberites ficus"
"82","Flustra foliacea"
"83","Upogebia deltaura"
"84","Liocarcinus"
"85","Hyas coarctatus"
"86","Carcinus maenas"
"87","Ostrea edulis"
"88","Hippocampus"
